Latitude, Longitude, Date and Time, Heading (Returns heading in degrees * 10^-5), Ground Speed (mm/s), and Altitude (Returns the current altitude in mm above mean sea level).
42.3520482,-71.1161863,2023-2-27 11:41:3,32912654,405,48839
42.3520669,-71.1161472,2023-2-27 11:41:5,35572596,112,45273
42.3520704,-71.1161397,2023-2-27 11:41:8,11249994,163,44123
42.3520766,-71.1160942,2023-2-27 11:41:11,11709332,233,43335
42.3520791,-71.1160675,2023-2-27 11:41:13,5830868,268,42750
42.3520916,-71.1160553,2023-2-27 11:41:15,642177,330,41555
42.3520915,-71.1160283,2023-2-27 11:41:18,6203656,1933,37512
42.3520856,-71.1159876,2023-2-27 11:41:21,9984864,1112,34547
42.3520751,-71.1159729,2023-2-27 11:41:23,12607190,1009,33124
42.3520704,-71.1159526,2023-2-27 11:41:25,10631084,1224,30896
42.3520568,-71.1159550,2023-2-27 11:41:28,12586570,452,30873
42.3520397,-71.1159568,2023-2-27 11:41:30,16043300,1420,31191
42.3520161,-71.1159650,2023-2-27 11:41:33,15562988,389,33449
42.3520255,-71.1159437,2023-2-27 11:41:35,7293225,1448,34479
42.3520247,-71.1159209,2023-2-27 11:41:38,10086172,1111,32619
42.3520193,-71.1159130,2023-2-27 11:41:40,10056374,295,30917
42.3520212,-71.1158824,2023-2-27 11:41:43,9595918,734,24444
42.3520240,-71.1158590,2023-2-27 11:41:45,9809134,972,24130
42.3520255,-71.1158322,2023-2-27 11:41:48,10102926,585,23616
42.3520344,-71.1158230,2023-2-27 11:41:51,10102926,238,24779
42.3520345,-71.1157967,2023-2-27 11:41:53,10479172,1119,26181
42.3520096,-71.1157451,2023-2-27 11:41:56,13414750,953,24253
42.3519688,-71.1157296,2023-2-27 11:41:58,17779614,1267,24045
42.3519133,-71.1157132,2023-2-27 11:42:1,18415372,1433,24598
42.3518757,-71.1157078,2023-2-27 11:42:3,18041406,1736,25517
42.3518164,-71.1156811,2023-2-27 11:42:6,16196084,2243,28680
42.3517791,-71.1156730,2023-2-27 11:42:8,18263322,1575,30259
42.3517247,-71.1156422,2023-2-27 11:42:11,18164474,1194,32172
42.3516953,-71.1156429,2023-2-27 11:42:13,19678472,1383,33820
42.3516523,-71.1156565,2023-2-27 11:42:16,19469148,1587,33736
42.3516242,-71.1156609,2023-2-27 11:42:18,19178724,1187,33864
42.3515557,-71.1156214,2023-2-27 11:42:21,18675664,1465,36874
42.3515288,-71.1156199,2023-2-27 11:42:23,19054826,1268,36401
42.3514741,-71.1156011,2023-2-27 11:42:26,18821370,1659,39839
42.3514154,-71.1155682,2023-2-27 11:42:29,17888648,1163,40783
42.3513721,-71.1155626,2023-2-27 11:42:32,17270932,1767,41263
42.3513410,-71.1155528,2023-2-27 11:42:34,16565184,1366,42260
42.3513007,-71.1155677,2023-2-27 11:42:37,19562730,1400,42520
42.3513134,-71.1156446,2023-2-27 11:42:39,18908208,955,37626
42.3513121,-71.1156771,2023-2-27 11:42:42,14438698,395,33135
42.3513156,-71.1156864,2023-2-27 11:42:44,14438698,16,32078
42.3513206,-71.1156970,2023-2-27 11:42:47,15690362,15,29688
42.3513231,-71.1157028,2023-2-27 11:42:49,10583160,492,28023
42.3513120,-71.1156774,2023-2-27 11:42:52,13513096,963,27591
42.3512825,-71.1156620,2023-2-27 11:42:54,14518232,1552,31958
42.3512712,-71.1156408,2023-2-27 11:42:57,10087264,908,31974
42.3512626,-71.1156270,2023-2-27 11:42:59,11728438,1096,31496
42.3512561,-71.1156094,2023-2-27 11:43:1,11668832,205,31332
42.3512630,-71.1155763,2023-2-27 11:43:4,6167025,815,28357
